freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.862e+02,2.073e+01,7.791e+00,3.147e+02
1.5,1.816e+02,6.386e+01,1.723e+01,2.627e+02
3.1,6.837e+01,7.486e+01,1.887e+01,1.621e+02
4.6,4.670e+02,1.165e+02,1.809e+01,6.016e+02
6.2,1.229e+03,1.591e+02,1.875e+01,1.407e+03
7.7,1.663e+03,1.049e+02,2.171e+01,1.789e+03
9.3,2.375e+03,8.069e+01,2.307e+01,2.479e+03
10.8,3.226e+03,7.795e+01,2.481e+01,3.328e+03
12.3,4.158e+03,7.029e+01,2.445e+01,4.253e+03
13.9,5.213e+03,7.169e+01,2.593e+01,5.311e+03
15.4,6.547e+03,7.753e+01,3.059e+01,6.655e+03
17.0,8.087e+03,7.151e+01,3.325e+01,8.191e+03
18.5,9.840e+03,7.235e+01,3.411e+01,9.947e+03
20.1,1.195e+04,8.050e+01,3.499e+01,1.206e+04
21.6,1.422e+04,8.251e+01,3.959e+01,1.434e+04
23.1,1.733e+04,8.128e+01,5.170e+01,1.747e+04
24.7,2.131e+04,8.044e+01,7.412e+01,2.147e+04
26.2,2.493e+04,8.120e+01,8.308e+01,2.509e+04
27.8,2.847e+04,8.420e+01,8.635e+01,2.864e+04
29.3,3.253e+04,8.859e+01,9.652e+01,3.271e+04
30.9,3.747e+04,1.004e+02,1.183e+02,3.769e+04
32.4,4.425e+04,1.191e+02,1.405e+02,4.451e+04
33.9,5.175e+04,1.425e+02,1.541e+02,5.205e+04
35.5,6.006e+04,2.389e+02,1.848e+02,6.048e+04
37.0,7.202e+04,6.210e+02,2.467e+02,7.289e+04
38.6,9.054e+04,2.311e+03,3.874e+02,9.324e+04
40.1,1.191e+05,6.813e+03,5.775e+02,1.265e+05
41.7,1.541e+05,9.018e+03,6.793e+02,1.638e+05
43.2,1.855e+05,1.819e+04,1.216e+03,2.049e+05
44.7,2.106e+05,3.845e+04,9.558e+02,2.500e+05
46.3,2.038e+05,4.026e+04,2.782e+02,2.443e+05
47.8,1.775e+05,2.314e+04,2.974e+02,2.010e+05
49.4,1.875e+05,1.049e+04,6.084e+02,1.986e+05
50.9,2.147e+05,5.378e+03,6.845e+02,2.208e+05
52.5,2.353e+05,2.607e+03,5.119e+02,2.384e+05
54.0,2.642e+05,9.446e+02,5.147e+02,2.657e+05
55.5,2.305e+05,2.657e+02,4.898e+02,2.313e+05
57.1,1.634e+05,1.169e+02,3.786e+02,1.639e+05
58.6,1.177e+05,1.116e+02,2.260e+02,1.180e+05
60.2,9.373e+04,1.252e+02,1.065e+02,9.396e+04
61.7,6.980e+04,1.625e+02,1.075e+02,7.007e+04
63.3,6.836e+04,2.718e+02,3.036e+02,6.894e+04
64.8,9.977e+04,5.999e+02,8.106e+02,1.012e+05
66.3,1.853e+05,1.210e+03,1.641e+03,1.882e+05
67.9,3.936e+05,2.429e+03,3.656e+03,3.996e+05
69.4,7.728e+05,6.078e+03,9.225e+03,7.881e+05
71.0,1.146e+06,1.426e+04,2.061e+04,1.181e+06
72.5,1.395e+06,2.443e+04,3.848e+04,1.458e+06
74.1,1.187e+06,2.737e+04,4.756e+04,1.262e+06
75.6,8.780e+05,2.515e+04,4.493e+04,9.480e+05
77.2,5.837e+05,2.108e+04,3.751e+04,6.423e+05
78.7,3.740e+05,1.775e+04,3.057e+04,4.223e+05
80.2,2.585e+05,1.278e+04,2.109e+04,2.924e+05
81.8,1.942e+05,6.140e+03,9.729e+03,2.100e+05
83.3,1.480e+05,2.098e+03,3.399e+03,1.535e+05
84.9,1.057e+05,1.265e+03,3.193e+03,1.102e+05
86.4,6.999e+04,2.164e+03,6.065e+03,7.821e+04
88.0,5.950e+04,2.652e+03,7.224e+03,6.937e+04
89.5,4.535e+04,1.268e+03,3.319e+03,4.993e+04
91.0,3.901e+04,7.950e+02,1.761e+03,4.157e+04
92.6,4.748e+04,1.147e+03,2.425e+03,5.105e+04
94.1,7.768e+04,2.087e+03,4.550e+03,8.432e+04
95.7,9.325e+04,2.566e+03,6.859e+03,1.027e+05
97.2,8.133e+04,1.764e+03,5.051e+03,8.814e+04
98.8,8.362e+04,1.072e+03,3.473e+03,8.817e+04
100.3,8.592e+04,5.913e+02,3.974e+03,9.049e+04
101.8,7.701e+04,2.353e+02,3.420e+03,8.067e+04
103.4,6.617e+04,1.451e+02,2.320e+03,6.863e+04
104.9,5.509e+04,2.216e+02,1.392e+03,5.670e+04
106.5,4.301e+04,4.212e+02,5.826e+02,4.401e+04
108.0,3.374e+04,5.682e+02,3.049e+02,3.461e+04
109.6,2.807e+04,6.706e+02,4.055e+02,2.915e+04
111.1,2.487e+04,9.385e+02,8.755e+02,2.668e+04
112.6,2.241e+04,1.387e+03,8.435e+02,2.465e+04
114.2,2.237e+04,1.641e+03,1.031e+03,2.504e+04
115.7,2.629e+04,1.735e+03,1.518e+03,2.955e+04
117.3,3.083e+04,1.639e+03,1.938e+03,3.441e+04
118.8,3.394e+04,1.387e+03,2.179e+03,3.751e+04
120.4,3.482e+04,1.172e+03,2.231e+03,3.822e+04
121.9,3.561e+04,1.001e+03,2.359e+03,3.897e+04
123.4,3.574e+04,9.813e+02,3.089e+03,3.981e+04
125.0,3.735e+04,9.994e+02,4.301e+03,4.266e+04
126.5,3.976e+04,9.641e+02,5.409e+03,4.613e+04
128.1,4.254e+04,8.265e+02,6.406e+03,4.977e+04
129.6,4.594e+04,6.016e+02,6.259e+03,5.280e+04
131.2,3.859e+04,3.831e+02,4.312e+03,4.329e+04
132.7,3.478e+04,3.151e+02,3.439e+03,3.853e+04
134.2,9.855e+03,1.372e+02,8.591e+02,1.085e+04
135.8,5.281e+03,1.114e+02,3.954e+02,5.788e+03
137.3,6.272e+03,1.148e+02,4.330e+02,6.820e+03
138.9,6.985e+03,1.980e+02,4.544e+02,7.638e+03
140.4,7.712e+03,3.103e+02,4.635e+02,8.486e+03
142.0,7.099e+03,2.814e+02,3.526e+02,7.733e+03
143.5,9.224e+03,3.706e+02,5.478e+02,1.014e+04
145.0,9.744e+03,3.419e+02,6.278e+02,1.071e+04
146.6,9.474e+03,2.753e+02,6.439e+02,1.039e+04
148.1,8.866e+03,1.992e+02,5.793e+02,9.644e+03
149.7,6.982e+03,2.070e+02,4.689e+02,7.658e+03
151.2,4.994e+03,2.620e+02,3.485e+02,5.604e+03
152.8,3.759e+03,3.066e+02,2.447e+02,4.310e+03
154.3,3.115e+03,3.251e+02,1.811e+02,3.621e+03
155.8,2.609e+03,3.101e+02,1.605e+02,3.080e+03
157.4,1.727e+03,2.848e+02,1.894e+02,2.201e+03
158.9,9.769e+02,2.056e+02,1.490e+02,1.332e+03
160.5,1.305e+03,1.962e+02,1.048e+02,1.606e+03
162.0,1.573e+03,2.145e+02,1.747e+02,1.962e+03
163.6,1.134e+03,1.827e+02,2.745e+02,1.591e+03
165.1,9.730e+02,1.536e+02,3.551e+02,1.482e+03
166.6,1.124e+03,1.499e+02,4.138e+02,1.688e+03
168.2,1.180e+03,1.414e+02,3.968e+02,1.718e+03
169.7,1.297e+03,1.303e+02,3.354e+02,1.763e+03
171.3,1.633e+03,1.419e+02,2.947e+02,2.070e+03
172.8,2.067e+03,1.584e+02,2.727e+02,2.498e+03
174.4,2.172e+03,1.657e+02,2.515e+02,2.589e+03
175.9,1.983e+03,1.396e+02,2.219e+02,2.345e+03
177.4,3.705e+03,1.548e+02,3.501e+02,4.210e+03
179.0,5.200e+03,1.543e+02,4.252e+02,5.780e+03
180.5,6.462e+03,1.501e+02,4.600e+02,7.072e+03
182.1,7.414e+03,1.648e+02,4.389e+02,8.018e+03
183.6,8.119e+03,1.865e+02,3.705e+02,8.676e+03
185.2,8.728e+03,2.133e+02,3.001e+02,9.241e+03
186.7,9.182e+03,2.186e+02,2.800e+02,9.681e+03
188.2,9.068e+03,2.209e+02,3.173e+02,9.607e+03
189.8,8.745e+03,2.188e+02,4.232e+02,9.387e+03
191.3,8.373e+03,2.337e+02,5.447e+02,9.151e+03
192.9,8.634e+03,2.423e+02,4.559e+02,9.332e+03
194.4,1.090e+04,2.800e+02,1.948e+02,1.137e+04
196.0,1.117e+04,2.982e+02,1.312e+02,1.160e+04
197.5,1.069e+04,3.008e+02,1.759e+02,1.116e+04
199.0,1.010e+04,2.838e+02,2.662e+02,1.065e+04
